### OHamburgC 14 units
A=XX,1,1,Beam
B=SX,6,3,Beam
C=XX,3,3,Beam
D=SX,6,3,Beam
E=SX,6,2,Beam
F=SX,6,1,Beam
G=XS,3,6,Beam
H=SS,6,6,Beam
I=SS,6,6,Beam
J=SS,6,5,Beam
K=SX,6,0,Beam
L=SX,6,2,Beam
M=SS,6,6,Beam
N=SS,6,5,Beam
O=XX,3,3,Beam
P=SX,6,1,Beam
Thorn=SX,6,1,Beam
Q=XX,3,3,Beam
R=SX,6,0,Beam
S=XX,3,3,Beam
T=XX,0,0,Beam
U=SS,5,5,Beam
V=XX,0,0,Beam
W=XX,0,0,Beam
X=XX,1,1,Beam
Y=XX,0,0,Beam
Z=XX,2,3,Beam
a=XS,2,4,Beam
b=SX,4,2,Beam
c=XX,2,0,Beam
colon=XX,3,3,Beam
comma=XX,3,3,Beam
d=XS,2,4,Beam
e=XX,2,1,Beam
f=SX,5,0,Beam
g=XX,2,0,Beam
h=SS,4,4,Beam
i=SS,5,4,Beam
dotlessi=SS,5,4,Beam
j=SS,4,4,Beam
dotlessj=SS,4,4,Beam
k=SX,4,0,Beam
l=SS,4,4,Beam
m=SS,5,4,Beam
n=SS,5,4,Beam
o=XX,2,2,Beam
p=SX,4,2,Beam
thorn=SX,4,2,Beam
period=XX,3,3,Beam
periodcentered=XX,3,3,Beam
q=XS,2,4,Beam
r=SX,5,0,Beam
s=XX,2,2,Beam
semicolon=XX,3,3,Beam
t=SX,4,0,Beam
u=SS,4,5,Beam
v=XX,0,0,Beam
w=XX,0,0,Beam
x=XX,0,0,Beam
y=XX,0,0,Beam
z=XX,2,2,Beam
P=SX,6,2,Beam
### ADDITIONAL 1,0,0,
numbersign=XX,0,0,Beam
ampersand=XX,4,1,Beam
asterisk=XX,2,2,Beam
at=XX,3,3,Beam
slash=XX,2,2,Beam
backslash=XX,2,2,Beam
bar=SS,5,5,Beam
brokenbar=SS,5,5,Beam
section=XX,3,3,Beam
underscore=XX,0,0,Beam
ordfeminine=XX,2,0,Beam
ordmasculine=XX,2,2,Beam
registered=XX,2,2,Beam
copyright=XX,2,2,Beam
degree=XX,2,2,Beam
germandbls=SX,4,1,Beam
bullet=XX,3,3,Beam
dagger=XX,2,2,Beam
daggerdbl=XX,2,2,Beam
ellipsis=XX,6,6,Beam
exclam=XX,3,3,Beam
exclamdown=XX,3,3,Beam
paragraph=XX,3,2,Beam
percent=XX,3,3,Beam
perthousand=XX,3,3,Beam
question=XX,4,3,Beam
questiondown=XX,3,4,Beam
### BRACKETS,0,0,
braceleft=XX,3,2,Beam
braceright=XX,2,3,Beam
bracketleft=SX,6,1,Beam
bracketright=XS,1,6,Beam
parenleft=XX,4,1,Beam
parenright=XX,1,4,Beam
### QUOTES,0,0,
quotedbl=XX,4,4,Beam
quotedblbase=XX,3,3,Beam
quotedblleft=XX,3,3,Beam
quotedblright=XX,3,3,Beam
quoteleft=XX,3,3,Beam
quoteright=XX,3,3,Beam
quotesinglbase=XX,3,3,Beam
quotesingle=XX,4,4,Beam
guillemotleft=XX,2,3,Beam
guillemotright=XX,3,2,Beam
guilsinglleft=XX,2,3,Beam
guilsinglright=XX,3,2,Beam
### NUMERALS,0,0,
Euro=XX,3,2,Beam
florin=XX,-1,1,Beam
sterling=XX,1,1,Beam
yen=XX,0,0,Beam
dollar=XX,3,3,Beam
cent=XX,4,3,Beam
currency=XX,2,2,Beam
zero=XX,2,2,Beam
one=SS,12,11,Beam
two=XX,1,2,Beam
three=XX,2,3,Beam
four=XX,1,2,Beam
five=XX,4,4,Beam
six=XX,2,2,Beam
seven=XX,2,1,Beam
eight=XX,3,3,Beam
nine=XX,3,3,Beam
### DASHES,0,0,
hyphen=XX,2,2,Beam
endash=XX,0,0,Beam
emdash=XX,0,0,Beam
### MATH,0,0,
mu=SS,5,5,Beam
divide=XX,3,3,Beam
asciicircum=XX,3,3,Beam
asciitilde=XX,4,4,Beam
less=XX,3,3,Beam
plus=XX,3,3,Beam
equal=XX,3,3,Beam
greater=XX,3,3,Beam
logicalnot=XX,3,3,Beam
minus=XX,3,3,Beam
multiply=XX,4,4,Beam
plusminus=XX,3,3,Beam
approxequal=XX,3,3,Beam
greaterequal=XX,3,3,Beam
notequal=XX,3,3,Beam
infinity=XX,3,3,Beam
integral=XX,0,-1,Beam
lessequal=XX,3,3,Beam
lozenge=XX,2,2,Beam
partialdiff=XX,2,2,Beam
pi=XX,1,1,Beam
radical=XX,0,2,Beam
summation=XX,1,2,Beam
Delta=XX,2,2,Beam
Omega=XX,1,1,Beam
product=SS,6,6,Beam
### FRACTIONS,0,0,
fraction=XX,-10,-10,Beam
onehalf=XX,3,2,Beam
onequarter=XX,2,4,Beam
onesuperior=XX,5,4,Beam
threequarters=XX,2,3,Beam
threesuperior=XX,2,2,Beam
trademark=XX,1,2,Beam
twosuperior=XX,2,1,Beam
